reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,appVersion
56598e3f-86f2-44ff-a561-4f6d58eb7173,Wendy Rowe,"This is my second time trying it on my Android phone, last time was maybe a year ago. It doesn't connect to the Bluetooth earpiece (that was already connected & working for everything else), instead playing audio through my phone speakers. I can't find an option to switch it to the earpiece, so I've given up and will uninstall it again.",1,2,44.9.1,2024-10-16 18:12:56,44.9.1
06fd6a83-ea69-4a75-af45-93f62e4adc27,Robert Jim Fulner,"My company recently update the version of the WebEx server software they are using. This new version no longer supports the WebEx Meet Android app. They expect you to join from the Android WebEx app instead. One of the downsides of this is that Cisco no longer supports Android 8, which happens to be the newest Android version available for my work phone. In addition the older version of that app doesn't written with the new server either. Webex meet itself, however, seems to work fine. No bugs.",3,10,44.7.1,2024-08-18 15:18:44,44.7.1
7c9e80a3-8d54-4c4e-be76-1a045bb4f73c,Pthom Thompson,"Display icons on the screen that do not have labels. As a first time user, it took a number of trial and error actions to get the audio and video functioning for the best results. Scale 1-5; 5 is highest. Picture quality 4. Audio quality 3. Functionality 4. User friendliness 2. Navigatability 2. Overall a good experience. Just login Early to familiarize yourself with the unlabeled icons and screen gestures.",3,6,44.7.0,2024-07-19 16:40:28,44.7.0
d683473f-fc6b-4aca-a650-4b82f24490aa,Andre Reyes,"WebEx is pretty easy to use and has great video and microphone abilities. However, it tends to drop your video whenever you get any calls or notifications during the meeting even if you put your phone on Do Not Disturb. (Which may be user error) Other than that, I have no issues with it!",4,47,44.6.1,2024-06-05 23:09:16,44.6.1
bb2c1106-fd82-4650-91b3-1c17616fe61c,A Google user,"Rough, to say the least. Still, my cell was ultimately able to connect to the webinar at about the half way point. I could not establish this with my pc to matter what I tried. The cell/Android app got me in, but the interface could be far more intuitive/user friendly. Some nice features, but one-click access to them would definitely be helpful, especially when one has to switch from the video stream to the concurrently running chat feature (and back again) to fully experience the webinar.",3,18,39.4.0,2019-06-14 20:40:45,39.4.0
92e4b844-a45e-4551-8cc7-5665a72e7296,Christopher Shults,I and so many other people have had so many issues with this app. There are issues when trying to connect to bluetooth devices and frankly issues that I don't have with any other app like this. My hope is that Webex does some serious quality control and makes the necessary corrections because there is nothing more frustrating than trying to conduct business on an app that simply is dysfunctional.,1,10,44.4.0,2024-05-24 20:34:17,44.4.0
de6c508b-7600-4804-81e4-9d647713272f,Holly Hill,"This app worked very well for me. Clear video and sound, and all of the functions (pause video or microphone, etc.) worked well, and right as you selected them. The only issue I had was, when I tried to remove the blurred background, to select ""none,"" it would not apply, I tried multiple times. All of the other backgrounds worked fine as far as I could tell, but I never applied them, I could see them in the preview mode. The only selection that did not work was, ""none,"" (no background).",5,115,44.4.0,2024-05-06 19:10:51,44.4.0
23fff7a3-65f3-431d-a5fb-e8fdc7c53948,A Google user,"Great app that gives me flexibility on WebEx calls. Used it this morning because main computer decided to restart 2 minutes before my call. I do wish you had the option to choose whether it displays the mobile icon next to your name. If you were dialing in from the beach for instance, you might not want everyone on the call to know you're not at your desk...",4,1,11.2.0,2018-09-17 18:08:09,11.2.0
a48c9f02-8a5d-4ac1-929d-7e4e9f3f1a01,A Google user,"I've been wanting to give this app five stars for so long (as my team and I use it religiously). However, it's been plagued with issues, bugs and missing features that are required to make this a reliable app. Finally, I'm pleased to say that these latest updates have addressed the core complaints we've had using this application. Less sign-ins, less disconnections, better calendar syncing, better connectivity options, screen share, casting, reliable auto mute...the list goes on! Bravo Cisco",5,18,39.7.0,2019-09-09 17:58:29,39.7.0
b07f67f2-1936-4d67-b6b4-d15a62f8e9c3,A Google user,"So far over several days at different times I have attempted to download this app for android to no avail, it never gets beyond waiting for download. It was suggested to me that because of more people at home and using the internet it may the high volume usage holding up the download. I'm a fan of Zoom with which I've never had a problem with download or subsequent usage.",1,1,,2020-04-02 16:53:10,
