Model Type,Data Form,Feature Type,Accuracy,Precision,,Recall,,F1 Score,,AUC (ROC),Time (seconds)
,,,,Neg.,Pos.,Neg.,Pos.,Neg.,Pos.,,
Logistic Regression,Original,Bag of Words,0.89,0.92,0.87,0.86,0.93,0.89,0.9,0.95,8.97
,,TF-IDF,0.88,0.86,0.91,0.91,0.85,0.89,0.88,0.88,2.39
,Without Stopwords,Bag of Words,0.89,0.92,0.86,0.85,0.92,0.88,0.89,0.95,5.37
,,TF-IDF,0.88,0.85,0.91,0.92,0.84,0.89,0.88,0.95,2.88
,Lemmatized,Bag of Words,0.89,0.91,0.86,0.85,0.92,0.88,0.89,0.95,5.43
,,TF-IDF,0.88,0.85,0.92,0.92,0.84,0.89,0.88,0.95,2.61
SGD Classifier,Original,Bag of Words,0.89,0.9,0.89,0.88,0.9,0.89,0.9,0.95,0.31
,,TF-IDF,0.9,0.89,0.92,0.92,0.89,0.91,0.9,0.97,0.12
,Without Stopwords,Bag of Words,0.89,0.9,0.88,0.88,0.91,0.89,0.89,0.95,0.11
,,TF-IDF,0.9,0.88,0.92,0.93,0.87,0.9,0.9,0.96,0.09
,Lemmatized,Bag of Words,0.89,0.9,0.89,0.89,0.9,0.89,0.89,0.95,0.12
,,TF-IDF,0.9,0.87,0.92,0.93,0.87,0.9,0.89,0.96,0.08
Multinomial Naïve Bayes,Original,Bag of Words,0.75,0.67,0.98,0.99,0.52,0.8,0.68,0.9,0.05
,,TF-IDF,0.76,0.68,0.98,0.99,0.54,0.81,0.7,0.87,0.04
,Without Stopwords,Bag of Words,0.73,0.65,0.98,0.99,0.48,0.79,0.64,0.91,0.03
,,TF-IDF,0.8,0.72,0.97,0.98,0.62,0.83,0.76,0.94,0.03
,Lemmatized,Bag of Words,0.75,0.66,0.98,0.99,0.51,0.8,0.67,0.91,0.02
,,TF-IDF,0.8,0.72,0.97,0.98,0.62,0.83,0.75,0.94,0.03
Simple RNN,Original,Tokenized & padded,0.84,0.82,0.86,0.86,0.82,0.84,0.84,0.91,35.75
,Without Stopwords,,0.77,0.76,0.78,0.78,0.76,0.77,0.77,0.85,18.65
,Lemmatized,,0.86,0.89,0.83,0.81,0.9,0.85,0.86,0.92,20.52
LSTM,Original,Tokenized & padded,0.88,0.85,0.92,0.93,0.84,0.89,0.88,0.88,147.37
,Without Stopwords,,0.87,0.88,0.87,0.86,0.88,0.87,0.88,0.87,86
,Lemmatized,,0.87,0.85,0.91,0.91,0.83,0.88,0.87,0.87,97.3
CNN,Original,Tokenized & padded,0.9,0.86,0.86,0.85,0.9,0.87,0.88,0.94,5.01
,Without Stopwords,,0.86,0.87,0.86,0.86,0.87,0.86,0.87,0.92,4.64
,Lemmatized,,0.86,0.85,0.87,0.87,0.85,0.86,0.86,0.92,4.4
,,,,,,,,,,,
